segment,variant,start_day,end_day,excess_delta_vs_current,return_delta_vs_current
all,neutral_055_6,746,791,-0.013696342238897596,-0.013696342238897596
all,neutral_055_6,747,792,-0.01331647777938949,-0.01331647777938949
all,neutral_055_6,748,793,-0.012688895677376744,-0.012688895677376744
all,neutral_055_6,749,794,-0.01610237495898148,-0.01610237495898148
all,neutral_055_6,750,795,-0.014271386923290663,-0.014271386923290663
all,neutral_055_6,751,796,-0.019148020125978382,-0.019148020125978382
all,neutral_055_6,752,797,-0.017724219590244727,-0.017724219590244727
all,neutral_055_6,753,798,-0.014250276946078833,-0.014250276946078833
all,neutral_055_6,754,799,0.0003210879865220839,0.0003210879865220839
all,neutral_055_6,755,800,-0.0010224294095708686,-0.0010224294095708686
all,neutral_055_6,756,801,-0.00971182778641655,-0.00971182778641655
all,neutral_055_6,757,802,-0.001698170911748953,-0.001698170911748953
all,neutral_055_6,758,803,-0.002088798247664725,-0.002088798247664725
all,neutral_055_6,759,804,-0.005432253977551094,-0.005432253977551094
all,neutral_055_6,760,805,0.0019390889966954816,0.0019390889966954816
all,neutral_055_6,761,806,0.0041532800443673246,0.0041532800443673246
all,neutral_055_6,762,807,0.003988706130142017,0.003988706130142017
all,neutral_055_6,763,808,0.0008794164610201882,0.0008794164610201882
all,neutral_055_6,764,809,0.005480830823594962,0.005480830823594962
all,neutral_055_6,765,810,0.0041247974202356374,0.0041247974202356374
all,neutral_055_6,766,811,0.0013406619638884898,0.0013406619638884898
all,neutral_055_6,767,812,0.006430416804299011,0.006430416804299011
all,neutral_055_6,768,813,0.011956457893385952,0.011956457893385952
all,neutral_055_6,769,814,0.010409392813456986,0.010409392813456986
all,neutral_055_6,770,815,0.014251759752217819,0.014251759752217819
all,neutral_055_6,771,816,0.008205168480202474,0.008205168480202474
all,neutral_055_6,772,817,0.008594342955807521,0.008594342955807521
all,neutral_055_6,773,818,0.0178010912377784,0.0178010912377784
all,neutral_055_6,774,819,0.01036246546175712,0.01036246546175712
all,neutral_055_6,775,820,0.005573758074364443,0.005573758074364443
